Username,Genre,Followers,Likes,Plays,Reposts,Comments
 SKI MASK THE SLUMP GOD ,Rap,1142016,68087,4788805,5489,865
 SKI MASK THE SLUMP GOD ,Rap,1142016,71006,4427238,4879,445
 SKI MASK THE SLUMP GOD ,Rap,1142016,41345,2647288,2889,298
 SKI MASK THE SLUMP GOD ,Rap,1142016,28093,1664344,1302,147
 SKI MASK THE SLUMP GOD ,Rap,1142016,28265,1766755,1648,157
 SKI MASK THE SLUMP GOD ,Rap,1142016,166144,10531780,9157,1959
YoungBoy Never Broke Again ,Rap,1104804,114525,9518703,3607,212
21 Savage,Rap,1054331,699904,51291317,34733,5334
21 Savage ,Rap,1054330,90231,5457982,7354,425
21 Savage ,Rap,1054330,263774,16286406,14856,1283
21 Savage ,Rap,1054330,467620,34217184,23310,2085
21 Savage ,Rap,1054329,59226,3420954,4586,199
 Young Thug ,Rap,935269,9266,706220,929,36
 Young Thug ,Rap,935269,6056,520102,639,20
 Young Thug ,Rap,935269,51408,2391340,2811,236
 Young Thug ,Rap,935269,403540,26066406,20539,1772
 Young Thug ,Rap,935269,74331,4301644,5042,185
 Young Thug ,Rap,935269,109991,6794863,7348,334
 Young Thug ,Rap,935269,196049,11917504,21823,1110
 Young Thug ,Rap,935267,522,39509,43,5
 Young Thug ,Rap,935266,160,13699,7,3
" Lil Yachty, RD, Lil Boat ",Rap,829482,70829,5500660,7584,233
" Lil Yachty, RD, Lil Boat ",Rap,829482,34376,2975629,3509,90
 Interscope Records ,Rap,803614,31307,2162603,3587,187
 Interscope Records ,Rap,803614,37477,2624443,4887,322
 playboicarti ,Rap,772324,154691,9319709,11587,1272
 playboicarti ,Rap,772324,194075,29829329,12848,1358
 playboicarti ,Rap,772324,175302,11325484,11186,844
 playboicarti ,Rap,772324,141598,9092699,8954,761
 playboicarti ,Rap,772323,48209,3114054,3982,344
 playboicarti ,Rap,772323,81587,5559480,6074,427
 playboicarti ,Rap,772320,232358,15197546,14382,1522
 playboicarti ,Rap,772320,546070,42946720,45154,3228
 playboicarti ,Rap,772320,560336,39095810,46426,2403
 6IX9INE ,Rap,755688,1257628,11557021,51404,18839
 Metro Boomin ,Rap,625944,47234,2967886,7115,280
 smokepurpp ,Rap,618203,38048,2210997,3667,226
 smokepurpp ,Rap,618202,63014,4008807,5729,251
 smokepurpp ,Rap,618201,79688,4530853,7431,443
 smokepurpp ,Rap,618201,865738,73942709,43208,7801
 smokepurpp ,Rap,618201,462656,43905234,23501,3389
 Lil Baby ,Rap,586596,761870,55683368,22389,3675
 NAV ,Rap,580275,571885,44213420,51120,2233
 NAV ,Rap,580275,347415,33170315,9685,3212
NAV,Rap,580275,873547,69156294,69240,3415
NAV,Rap,580275,217438,16246978,15905,713
NAV,Rap,580275,232175,16823195,22539,1164
NAV,Rap,580275,397034,29758697,33170,1134
Pouya,Rap,518555,37151,2176976,5998,219
Pouya,Rap,518555,75811,4674514,8935,284
Pouya,Rap,518555,164719,11672041,17186,768
Pouya,Rap,518555,28970,2171006,3890,165
Pouya,Rap,518555,45773,3134194,5717,214
Pouya,Rap,518555,23481,1625784,3181,129
 Rich The Kid ,Rap,498990,111319,7250020,10320,405
 Rich The Kid ,Rap,498990,13656,851462,1378,70
 Rich The Kid ,Rap,498990,34146,1852952,3268,183
 Rich The Kid ,Rap,498990,154096,10713875,9512,528
 Rich The Kid ,Rap,498990,39760,2579790,3153,142
 Rich The Kid ,Rap,498989,137306,8338735,12455,549
 Rich The Kid ,Rap,498989,25662,1910298,1685,70
 Rich The Kid ,Rap,498989,266394,18759958,19127,825
 Rich The Kid ,Rap,498989,60067,3749090,4592,157
 Usher ,Rap,492995,3027,178263,145,3
 DENZELCURRYPH ,Rap,450633,8269,574946,831,28
 DENZELCURRYPH ,Rap,450633,80870,5183704,9999,413
 DENZELCURRYPH ,Rap,450633,487297,33941843,43040,5683
 DENZELCURRYPH ,Rap,450633,133415,8816663,16396,896
 DENZELCURRYPH ,Rap,450633,107022,7418786,17322,477
TeamSESH ,Rap,426953,72599,6055636,6436,360
TeamSESH ,Rap,426953,243996,18227715,22674,1729
TeamSESH ,Rap,426953,132294,10003361,14191,898
TeamSESH ,Rap,426953,64111,5350697,6463,385
 ChiefKeef ,Rap,384866,2538,180557,124,7
 ChiefKeef ,Rap,384866,427,44062,23,0
 ChiefKeef ,Rap,384866,824,63089,50,4
 ChiefKeef ,Rap,384866,1088,76706,67,3
 ChiefKeef ,Rap,384866,1242,80413,64,5
 ChiefKeef ,Rap,384865,2835,159271,200,6
 ChiefKeef ,Rap,384865,1015,51864,70,2
 ChiefKeef ,Rap,384865,3457,197599,260,6
 ChiefKeef ,Rap,384865,3218,214694,219,11
 ChiefKeef ,Rap,384865,4935,339322,328,11
 ChiefKeef ,Rap,384865,3966,223416,290,6
 ChiefKeef ,Rap,384865,4707,316207,311,17
 ChiefKeef ,Rap,384865,3110,170002,336,21
 ChiefKeef ,Rap,384865,33677,2294290,1628,193
 ChiefKeef ,Rap,384865,2447,155374,179,6
 ChiefKeef ,Rap,384865,7521,481546,328,43
 ChiefKeef ,Rap,384864,40640,2827559,4256,155
 ChiefKeef ,Rap,384864,696404,49139838,51861,3548
