,Username,Followers,Likes,Plays,Reposts,Comments
212,[' Interval Audio '],[10186],[344],[3838],[73],[32]
213,[' Interval Audio '],[10186],[420],[4640],[65],[39]
214,[' Interval Audio '],[10186],[602],[7449],[99],[54]
215,[' Interval Audio '],[10186],[504],[6057],[97],[46]
216,[' AYONIKZ '],[14012],[1787],[22190],[336],[186]
217,[' Never Say Die Black Label '],[95664],[10454],[160082],[1556],[393]
218,[' Effin '],[14984],[6030],[74610],[967],[254]
219,[' swoopy '],[2175],[569],[26776],[52],[25]
220,[' Roberto '],[39],[3317],[237313],[93],[25]
221,[' voltra '],[2909],[476],[4616],[61],[72]
222,[' Versa '],[5155],[8982],[135162],[1206],[380]
223,[' callari '],[4182],[1156],[26962],[75],[22]
224,"["" FrostTop's Freezer ""]",[701],[3352],[40427],[760],[220]
225,[' NXSTY MFKAS '],[7274],[3288],[54614],[692],[86]
226,[' Moley '],[2439],[823],[9369],[146],[106]
227,[' JAUZ '],[481896],[3705],[77664],[504],[80]
228,[' Protial '],[5284],[506],[5399],[59],[59]
229,[' 𝕹𝖔𝖘𝖕𝖍𝖊𝖗𝖊 '],[2756],[3472],[50246],[653],[559]
230,[' Virtual Riot '],[311234],[5998],[140067],[706],[368]
231,[' Cybertr0n '],[11689],[1273],[14344],[395],[226]
232,[' NEONIX '],[10080],[2520],[26922],[389],[156]
233,[' NT_KAIZOKU '],[3572],[336],[3824],[69],[33]
234,[' Bizarius '],[1012],[287],[10189],[28],[21]
235,[' Bassweight Records '],[22680],[1840],[21651],[283],[83]
236,[' Hukae '],[10128],[1949],[21579],[315],[117]
237,[' notforprophet '],[1098],[7336],[130186],[991],[278]
238,[' JAUZ '],[481896],[10122],[164834],[1324],[158]
239,[' Ōdio Records '],[10733],[1557],[19637],[342],[136]
240,[' knockthisoff '],[2561],[2764],[46835],[307],[60]
241,[' knockthisoff '],[2561],[1827],[33474],[269],[52]
242,[' devilmusic '],[939],[161],[2454],[39],[30]
243,[' Benda '],[3343],[2170],[54086],[260],[42]
244,[' loveboy '],[2157],[484],[18277],[56],[23]
245,[' RAVACHOL '],[10675],[845],[11305],[140],[63]
246,[' Activated '],[5445],[15],[204],[2],[3]
247,[' CHAIMBA '],[5685],[1015],[12550],[180],[146]
248,[' Hukae '],[10128],[2190],[27407],[355],[160]
249,[' Activated '],[5445],[11],[205],[1],[1]
250,[' YUREI [AYAKASHI] '],[505],[438],[5352],[105],[68]
251,[' Ōdio Records '],[10733],[901],[11336],[177],[46]
252,[' Nexu5 '],[10502],[1746],[21773],[322],[121]
253,[' GOONIE '],[6951],[2020],[99186],[129],[125]
254,[' SNOOKO '],[5707],[900],[11007],[159],[46]
255,[' Dim Mak Records '],[559180],[2046],[29277],[268],[56]
256,[' CLPR '],[3783],[253],[2527],[43],[22]
257,[' Control Freak '],[12513],[15909],[288785],[1901],[744]
258,[' CLPR '],[3783],[150],[1305],[19],[17]
259,[' ARCRUX '],[5434],[1776],[21734],[359],[107]
260,[' Only Rap Hits '],[13824],[76337],[4462757],[6198],[205]
261,[' GANON '],[18412],[908],[8875],[242],[230]
262,[' The Kount '],[25163],[731],[16895],[51],[26]
263,[' The Kount '],[25163],[555],[12270],[73],[8]
264,[' The Kount '],[25163],[548],[11581],[66],[18]
265,[' The Kount '],[25163],[260],[7028],[33],[11]
266,[' BRENTRAMBO '],[19168],[2667],[120136],[131],[15]
267,[' BRENTRAMBO '],[19168],[3039],[141971],[125],[29]
268,[' BRENTRAMBO '],[19168],[4962],[212034],[296],[56]
269,[' LUCKI '],[142971],[22137],[1076811],[1595],[168]
270,[' LUCKI '],[142971],[20014],[858230],[1181],[290]
271,[' 🌎* '],[244],[1537],[80043],[69],[20]
272,[' BRENTRAMBO '],[19168],[3137],[139907],[158],[33]
273,[' BRENTRAMBO '],[19168],[7472],[360087],[387],[113]
274,[' dream wave '],[2464],[155],[6041],[19],[3]
275,[' Jay Som '],[3912],[3209],[137356],[283],[29]
276,[' [ kobie from other world ]・ソニック '],[453],[6],[266],[1],[2]
277,[' Pasto Flocco '],[12765],[2439],[185725],[68],[69]
278,[' 𝙨𝙘𝙖𝙣𝙙𝙡𝙮𝙣𝙣. '],[1445],[4324],[280732],[118],[49]
279,[' Nxt Leg '],[15],[874],[62139],[24],[7]
280,[' Shawn Tha Dawn '],[76],[1809],[110287],[53],[7]
281,[''],[5],[500],[28404],[14],[5]
282,[' User 217060223 '],[33],[340],[22966],[4],[6]
283,[' User 200286403 '],[100],[1783],[111902],[57],[8]
284,[' hq '],[148],[1470],[115241],[41],[27]
285,[' EVOLVING PUBLIC '],[1565],[29124],[2186460],[760],[339]
286,[' yung gleesh '],[38807],[1174],[44045],[50],[15]
287,[' NGeeYL '],[13613],[3158],[122117],[171],[42]
288,[' DMVGlizzy '],[565],[1029],[72581],[31],[13]
289,[' ChiefKeef '],[384862],[6126],[451978],[417],[15]
290,[' king_almighty_3 '],[367],[3997],[273590],[389],[11]
291,[' $TN '],[1503],[3232],[212024],[96],[14]
292,[' $TN '],[1503],[4896],[305133],[144],[23]
293,[' wizthegreat '],[62],[5899],[520653],[473],[32]
294,[' glo_gang_nation '],[1098],[281],[20132],[42],[1]
295,[' GMEBE '],[2489],[21325],[1584814],[1504],[124]
296,[' Ka$hh Got Bandz$™ '],[2933],[8940],[704105],[556],[74]
297,[' MaxThaDemon '],[14718],[18809],[1511770],[441],[178]
298,[' EliFross TV '],[12505],[16357],[1447445],[334],[155]
299,['_Im_The_Shit)_SNIPPET.mp3 by Chauncy Coleman '],[370],[856],[66171],[41],[7]
300,[' Capo '],[972],[557],[26184],[20],[13]
301,[' zellyocho '],[5531],[570],[26017],[30],[21]
302,[' ATL 8A8Y by zellyocho '],[5531],[303],[16782],[18],[7]
303,[' DMV PROMO '],[1294],[1164],[67527],[30],[3]
304,"[' 9eno, Big Mechoo - Real Deal by RZN ']",[327],[2258],[187003],[69],[11]
305,[' Pasto Flocco '],[12765],[3074],[197637],[119],[150]
306,[' Pasto Flocco '],[12765],[1423],[91053],[35],[44]
307,[' Pasto Flocco '],[12765],[1988],[168935],[59],[68]
308,[' Pasto Flocco '],[12765],[1077],[83858],[30],[19]
309,[' Pasto Flocco '],[12765],[3677],[258778],[132],[147]
310,[' HARRISON '],[514],[1250],[85423],[49],[34]
